"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"11 Rondônia";1409018;1432779;1454686;1474963;1494506;1513687;1532259;1549747;1566588;1582874;1598634;1618210;1637884;1657620;1677766;1698263;1717911;1737578;1757589;1777225;1796460;1815278
"12 Acre";582172;600611;619261;637959;656312;674989;693719;712059;730523;748586;765325;778499;792045;805014;818273;831665;844137;856457;869265;881935;894470;906876
"13 Amazonas";2868193;2939965;3008836;3075835;3140990;3207750;3276510;3345514;3415112;3485174;3553148;3618040;3684326;3751293;3819636;3887740;3952171;4015812;4080611;4144597;4207714;4269995
"14 Roraima";333356;345858;358071;370356;383083;395424;407693;420331;433189;446088;458820;469543;480290;491066;501970;513328;525967;546885;576568;605761;631181;652713
"15 Pará";6371212;6517813;6661752;6804896;6947242;7087681;7228687;7367310;7504065;7637004;7762953;7862943;7960134;8054419;8149418;8244575;8334346;8422634;8513497;8602865;8690745;8777124
"16 Amapá";495193;515684;535914;556215;576205;595517;615079;634544;654211;674343;694261;711453;728015;744809;762156;779416;796419;813084;829494;845731;861773;877613
"17 Tocantins";1190019;1213339;1236238;1259293;1281932;1304536;1327543;1349481;1370924;1392316;1412989;1431478;1449779;1467474;1485318;1503482;1520448;1537350;1555229;1572866;1590248;1607363
"21 Maranhão";5835996;5929149;6015286;6108981;6204069;6297463;6389886;6477394;6561681;6639032;6710964;6757213;6798830;6836179;6875302;6916244;6955099;6994148;7035055;7075181;7114598;7153262
"22 Piauí";2923581;2961205;2995320;3024985;3052736;3080657;3107295;3131505;3153990;3174367;3193395;3203635;3213393;3221407;3229320;3238459;3246999;3255400;3264531;3273227;3281480;3289290
"23 Ceará";7624807;7742345;7853853;7958796;8057966;8156831;8255118;8349704;8443155;8534872;8623014;8680836;8737287;8791846;8846267;8904499;8962063;9017990;9075649;9132078;9187103;9240580
"24 Rio Grande do Norte";2853035;2896569;2937858;2977895;3016738;3056025;3094682;3130943;3167448;3204610;3239939;3271415;3302720;3332952;3363084;3393814;3422843;3450669;3479010;3506853;3534165;3560903
"25 Paraíba";3528864;3567007;3603237;3637153;3669400;3701283;3732327;3760733;3788518;3815616;3840796;3859813;3875373;3890494;3910059;3932537;3953693;3974437;3996496;4018127;4039277;4059905
"26 Pernambuco";8116834;8218291;8313150;8405467;8495874;8584183;8671259;8754463;8837894;8921455;9000471;9061822;9126023;9189087;9252020;9317317;9376936;9434403;9496294;9557071;9616621;9674793
"27 Alagoas";2888556;2927096;2964218;2999266;3031586;3062375;3092131;3119653;3146931;3172595;3196122;3214013;3231288;3247944;3263946;3279649;3294061;3307968;3322820;3337357;3351543;3365351
"28 Sergipe";1831099;1862696;1891728;1920093;1947823;1975257;2003105;2030021;2056657;2083035;2108130;2130266;2152152;2173452;2194830;2216468;2236938;2257068;2278106;2298696;2318822;2338474
"29 Bahia";13387168;13511727;13625352;13733687;13834381;13927132;14010566;14086718;14162319;14235936;14302738;14373168;14441708;14505213;14565992;14629207;14689878;14750066;14812819;14873064;14930634;14985284
"31 Minas Gerais";18351529;18560709;18750916;18928892;19097573;19258641;19411167;19551338;19689598;19826376;19957444;20096163;20235204;20371328;20508631;20648978;20780264;20908628;21040662;21168791;21292666;21411923
"32 Espírito Santo";3173860;3221149;3265905;3309693;3352781;3394747;3435356;3474578;3514773;3555703;3596057;3642595;3689347;3736386;3784361;3832826;3879376;3925341;3972388;4018650;4064052;4108508
"33 Rio de Janeiro";14723882;14908622;15078818;15241955;15402965;15558887;15708629;15854580;16002537;16153634;16303188;16405508;16510627;16616344;16726184;16841138;16947738;17051465;17159960;17264943;17366189;17463349
"35 São Paulo";37712838;38230286;38714552;39179618;39639613;40097923;40543155;40974276;41411375;41857032;42298906;42707383;43119841;43528708;43937755;44356304;44760305;45149603;45538936;45919049;46289333;46649132
"41 Paraná";9773439;9884374;9985028;10077766;10164956;10252353;10337621;10416632;10494940;10574671;10653276;10738066;10822187;10908262;10997989;11089062;11176203;11261927;11348937;11433957;11516840;11597484
"42 Santa Catarina";5483651;5577642;5666538;5753033;5839860;5927906;6014601;6098418;6182665;6268299;6353055;6441468;6530943;6620186;6710154;6802306;6894058;6984749;7075494;7164788;7252502;7338473
"43 Rio Grande do Sul";10374306;10457469;10527301;10588296;10646733;10703449;10753011;10794069;10833900;10875483;10914795;10963317;11014448;11066527;11119817;11175777;11229947;11280193;11329605;11377239;11422973;11466630
"50 Mato Grosso do Sul";2132596;2170330;2206669;2243357;2280444;2317444;2353564;2387703;2422756;2459099;2494745;2525762;2557442;2589069;2621214;2653928;2685454;2716534;2748023;2778986;2809394;2839188
"51 Mato Grosso";2570078;2624341;2677427;2730776;2785242;2841541;2897305;2950139;3002237;3055066;3106513;3145830;3185148;3226030;3269448;3314540;3356979;3398791;3441998;3484466;3526220;3567234
"52 Goiás";5139906;5243959;5347617;5449935;5549903;5648327;5744869;5837511;5929252;6020297;6109757;6212149;6314152;6415383;6518591;6623202;6723747;6822064;6921161;7018354;7113540;7206589
"53 Distrito Federal";2090538;2147631;2203724;2259183;2314130;2369135;2424473;2478904;2533036;2587342;2641247;2683144;2724348;2765696;2808040;2850959;2892607;2933497;2974703;3015268;3055149;3094325