"Ano do Óbito";"Óbitos_p/Ocorrênc"
"1981";-
"1982";-
"1983";-
"1984";-
"1985";-
"1986";-
"1987";-
"1988";-
"1989";-
"1990";-
"1991";-
"1992";-
"1993";-
"1994";-
"1995";-
"1996";35281
"1997";35620
"1998";30890
"1999";29569
"2000";28995
"2001";30524
"2002";32753
"2003";33139
"2004";35105
"2005";35994
"2006";36367
"2007";37407
"2008";38273
"2009";37594
"2010";42844
"2011";43256
"2012";44812
"2013";42266
"2014";43780
"2015";38651
"2016";37345
"2017";35375
"2018";32655
"2019";31945
"2020";32716
"2021";33813
"2022";33894
"2023";-
"Total";970863